name,num_workers,outer,inner,N,nnz,csrmkl_sd,csrmkl_mflops,csrmkl_sum,csriemkl_sd,csriemkl_mflops,csriemkl_sum
adder_dcop_64,5,30,5000,1813,11246,402.151551,7227.28,21479,166.218388,8113.58,21479
adder_dcop_18,5,30,5000,1813,11246,217.582265,6615.89,49210,593.723206,5177.16,49210
oscil_dcop_31,5,30,250000,430,1544,58.375193,1791.2,44837,128.875266,1792.43,44837
fpga_dcop_43,5,30,25000,1220,5892,466.823198,6158.68,65267,76.407126,6739.89,65267
adder_dcop_47,5,30,5000,1813,11246,497.474950,7213.29,40776,1460.152990,5555.14,40776
fpga_dcop_25,5,30,25000,1220,5892,922.936866,5204.85,30451,266.716222,6176.34,30451
oscil_dcop_14,5,30,250000,430,1544,94.627180,1784.38,59262,97.719399,1742.2,59262
oscil_dcop_29,5,30,250000,430,1544,122.968953,1731.58,25238,112.132666,1795.39,25238
fpga_dcop_45,5,30,25000,1220,5892,178.898207,6321.27,65267,183.387482,6617.03,65267
adder_dcop_54,5,30,5000,1813,11246,344.997111,7353.27,65234,620.016034,7681.27,65234
adder_dcop_63,5,30,5000,1813,11246,666.102560,5185.74,30166,1082.412770,5806.88,30166
adder_dcop_41,5,30,5000,1813,11246,463.904604,7345.17,60615,234.011828,8045.93,60615
ASIC_100k,5,30,500,99340,940621,242.978603,7090.35,6744,1089.644893,7754.33,6744
oscil_dcop_04,5,30,250000,430,1544,91.049426,1783.26,64791,138.561081,1849.38,64791
oscil_dcop_50,5,30,250000,430,1544,99.179227,1783.85,6556,79.937442,1790.91,6556
adder_dcop_48,5,30,5000,1813,11246,609.247884,7187.26,40622,192.806288,8035.34,40622
adder_dcop_21,5,30,5000,1813,11246,575.382575,7148.79,57717,292.935814,7968.84,57717
oscil_dcop_15,5,30,250000,430,1544,97.785373,1792.98,62325,141.696906,1801.85,62325
oscil_dcop_21,5,30,250000,430,1544,100.911930,1789.48,55912,125.884560,1790.22,55912
adder_dcop_40,5,30,5000,1813,11246,292.403410,7436.95,37147,406.090382,7859.86,37147
fpga_dcop_14,5,30,25000,1220,5892,158.070665,6014.57,1755,725.658144,4705.48,1755
adder_dcop_36,5,30,5000,1813,11246,45.256765,7564.29,13594,483.293143,7949.9,13594
fpga_dcop_09,5,30,25000,1220,5888,191.869576,5191.58,34200,246.918240,4985.12,34200
oscil_dcop_08,5,30,250000,430,1544,93.028992,1775.81,27679,126.966558,1779.76,27679
adder_dcop_66,5,30,5000,1813,11246,641.666047,7170.55,19116,201.036937,8069.63,19116
oscil_dcop_24,5,30,250000,430,1544,96.050980,1786.47,42380,107.568418,1765.87,42380
fpga_dcop_21,5,30,25000,1220,5892,895.266910,5057.41,40046,847.362109,5734.82,40046
adder_dcop_57,5,30,5000,1813,11246,445.600938,7291.47,21288,262.999863,8037.44,21288
adder_dcop_35,5,30,5000,1813,11246,476.140220,7326.87,55463,277.672707,7824.41,55463
fpga_dcop_27,5,30,25000,1220,5892,321.585304,6098.49,56046,287.605026,6480.04,56046
mult_dcop_02,5,30,500,25187,193276,74.331620,3550.22,4998,512.840518,5058.82,4998
adder_dcop_04,5,30,5000,1813,11107,340.449205,4007.25,20532,79.911941,3674.37,20532
oscil_dcop_41,5,30,250000,430,1544,78.362110,1769.07,64700,82.950589,1802.89,64700
fpga_dcop_30,5,30,25000,1220,5892,78.146386,6260.74,61380,1014.359645,4911.53,61380
ASIC_100ks,5,30,500,99190,578890,209.919768,7834.44,4491,260.282296,7924.83,4491
adder_dcop_25,5,30,5000,1813,11246,233.422779,7483.29,38759,529.022501,7808.19,38759
fpga_dcop_04,5,30,25000,1220,5884,124.995693,5962.65,13634,971.256116,4341.64,13634
adder_dcop_37,5,30,5000,1813,11246,334.149996,7423.36,56447,622.966278,7787.81,56447
fpga_dcop_42,5,30,25000,1220,5892,290.359055,6154.3,51315,285.453827,6643.77,51315
adder_dcop_13,5,30,5000,1813,11245,450.866423,6784.28,15663,182.063314,6477.4,15663
fpga_dcop_19,5,30,25000,1220,5892,215.269886,6180.58,50052,105.779765,6453.64,50052
adder_dcop_42,5,30,5000,1813,11246,229.429830,7391.79,8452,882.035118,5484.27,8452
adder_dcop_19,5,30,5000,1813,11245,342.023247,5011.54,21737,853.771079,6602.68,21737
adder_dcop_10,5,30,5000,1813,11232,601.192700,6954.86,34666,735.435026,7538.32,34666
oscil_dcop_01,5,30,250000,430,1544,92.402924,1745.66,41580,148.973394,1855.83,41580
oscil_dcop_13,5,30,250000,430,1544,117.314572,1724.29,10262,114.565002,1817.33,10262
oscil_dcop_47,5,30,250000,430,1544,110.922038,1732.94,6556,164.892040,1830.92,6556
adder_dcop_43,5,30,5000,1813,11246,668.476296,5538.17,63975,345.427479,4824.73,63975
oscil_dcop_43,5,30,250000,430,1544,74.541158,1795.8,6556,122.055269,1825.14,6556
oscil_dcop_10,5,30,250000,430,1544,78.674729,1763.01,36633,135.249047,1834.2,36633
oscil_dcop_44,5,30,250000,430,1544,68.755331,1773.48,6556,81.879167,1773.44,6556
oscil_trans_01,5,30,250000,430,1614,212.922919,2634.64,20331,176.228151,2619.41,20331
oscil_dcop_42,5,30,250000,430,1544,95.308005,1749.9,7004,86.336263,1775.78,7004
adder_dcop_11,5,30,5000,1813,11243,550.915547,6127.17,54442,451.706668,7244.25,54442
fpga_dcop_22,5,30,25000,1220,5892,223.889909,6100.59,7160,218.873968,6365.32,7160
adder_dcop_69,5,30,5000,1813,11246,355.961640,7366.68,27988,318.615174,8087.08,27988
fpga_dcop_24,5,30,25000,1220,5892,459.577101,5957.9,18411,942.101486,5167.94,18411
oscil_dcop_38,5,30,250000,430,1544,156.143251,1822.96,7195,141.130524,1828.59,7195
oscil_dcop_39,5,30,250000,430,1544,75.416517,1767.53,58781,108.489833,1794.48,58781
oscil_dcop_19,5,30,250000,430,1544,114.158465,1770.02,41236,76.172598,1829.76,41236
oscil_dcop_48,5,30,250000,430,1544,75.462779,1762.89,6556,122.778267,1780.58,6556
fpga_dcop_34,5,30,25000,1220,5892,356.690878,6291.83,6391,205.600923,6801.09,6391
oscil_dcop_40,5,30,250000,430,1544,95.648498,1804.95,40509,106.645705,1839.93,40509
fpga_dcop_31,5,30,25000,1220,5892,238.669092,6133.92,40170,393.826938,6606.42,40170
adder_dcop_44,5,30,5000,1813,11245,689.336119,7072.72,63966,120.217879,8006.92,63966
fpga_dcop_11,5,30,25000,1220,5892,112.466086,6105.94,41192,1308.268731,4977.78,41192
fpga_dcop_41,5,30,25000,1220,5892,705.888193,5621.62,51315,306.659457,6498.05,51315
fpga_dcop_03,5,30,25000,1220,5892,255.737525,6219.99,57521,223.242426,6695.27,57521
oscil_dcop_56,5,30,250000,430,1544,130.561096,1807.73,6556,169.695910,1776.94,6556
adder_dcop_31,5,30,5000,1813,11246,451.768674,7336.17,4501,655.518011,7831.52,4501
oscil_dcop_07,5,30,250000,430,1544,90.737541,1748.03,19170,106.426201,1805.62,19170
oscil_dcop_25,5,30,250000,430,1544,113.814177,1775.58,63521,129.499052,1790.79,63521
oscil_dcop_36,5,30,250000,430,1544,91.734628,1780.65,62054,107.779406,1804.49,62054
adder_trans_02,5,30,5000,1814,14579,788.935969,6662.88,22223,1091.070308,8504.1,22223
oscil_dcop_03,5,30,250000,430,1544,108.918611,1792.45,53878,130.166729,1807.17,53878
fpga_dcop_44,5,30,25000,1220,5892,285.796975,6311.56,65267,78.157510,6531.03,65267
fpga_dcop_17,5,30,25000,1220,5892,572.686007,5937.71,50174,1014.121533,5089.35,50174
fpga_dcop_50,5,30,25000,1220,5892,451.466354,5987.2,65267,497.337851,6403.42,65267
