name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
a0nsdsil,5,30,2500,80016,235029,3,12.9194720276,4543.82572227,46658
bloweya,5,30,100,30004,100008,10003,0.899709369343,90.8345503117,None
cont-201,5,30,2500,80595,279794,2,17.6374068487,5229.18122271,21256
c-55,5,30,2500,32780,218115,2,6.14120590381,3366.19757481,37274
aug2dc,5,30,12500,30200,70200,2,6.83197162254,4104.99652329,55260
copter2,5,30,2500,55476,407714,190,2.3746955795,3136.66831765,50779
stokes128,5,30,500,49666,312322,386,9.40374256758,2327.21802482,52647
bmw3_2,5,30,25,227362,5757996,1162,34.4610393886,4176.84879132,None
qpband,5,30,25000,20000,35000,2,8.2029351286,3298.44313484,34770
stokes64s,5,30,2500,12546,78338,194,2.96654054455,1581.29754242,None
ncvxqp1,5,30,25000,12111,45537,22,2.01917714728,2545.33244509,None
sparsine,5,30,2500,50000,799494,68,3.3454387233,4815.10755585,None
std1_Jac3,5,30,25000,21982,30330,5,2.69331945975,2324.58530331,17471
Zd_Jac2,5,30,25000,22835,28629,5,3.59850422863,2104.60992908,9287
std1_Jac2,5,30,25000,21982,30330,5,2.74390147397,2326.63618864,16278
std1_Jac3_db,5,30,500,21982,274689,612,5.39322711138,1716.41136906,None
Zd_Jac6,5,30,25000,22835,28616,5,2.9348765732,2092.27493917,32523
Zd_Jac3_db,5,30,500,22835,325598,1489,2.09039298043,1096.10594255,None
Zd_Jac2_db,5,30,500,22835,307168,1443,6.06833824135,1111.00864012,None
Zd_Jac3,5,30,25000,22835,28674,5,1.90823111041,2100.18255578,20345
Zd_Jac6_db,5,30,500,22835,294391,1490,1.40630831501,1052.20686663,None
std1_Jac2_db,5,30,500,21982,255426,609,4.81659339793,1604.95732108,None
garon2,5,30,500,13535,194262,166,17.7969755143,2584.94255515,None
garon1,5,30,5000,3175,44167,86,4.17899853795,1667.82217,None
s1rmt3m1,5,30,500,5489,111570,355,11.9178984206,1326.60097521,None
s2rmt3m1,5,30,500,5489,111585,355,8.11848252106,1371.93907563,None
s2rmq4m1,5,30,500,5489,134420,531,4.7323073436,1251.66825095,None
s1rmq4m1,5,30,500,5489,133950,529,6.00056235424,1266.46235521,None
s3rmt3m3,5,30,100,5357,106240,1152,12.6419225653,728.451348183,None
s3rmq4m1,5,30,500,5489,134216,531,5.00561610408,1286.41389432,None
s3rmt3m1,5,30,500,5489,111579,355,7.29606305531,1395.91064558,None
bibd_81_2,5,30,125000,3240,3240,1,2.32978354349,1379.58442148,57780
xenon1,5,30,2500,48600,614860,255,2.13541416318,3844.12428398,None
xenon2,5,30,125,157464,2012076,331,15.380105623,4556.90760528,None
ckt11752_tr_0,5,30,2500,49702,191703,30,7.20994378715,3387.17011774,None
trans5,5,30,2500,116835,433483,14,8.96950476518,5024.54452085,34103
trans4,5,30,2500,116835,433483,14,10.921769697,5024.09582068,39895
dc2,5,30,2500,116835,441781,14,8.40365591016,5033.21881838,16028
ckt11752_dc_1,5,30,2500,49702,191814,42,5.15557223124,3284.08733281,None
dc1,5,30,2500,116835,441781,14,10.0976177303,5027.49825144,24270
dc3,5,30,2500,116835,441781,14,14.3864628176,5047.79889396,16703
majorbasis,5,30,125,160000,1232812,600,14.490058481,3241.87851519,None
largebasis,5,30,625,440020,3000060,2,4.98465288967,5390.47957601,7258
crashbasis,5,30,125,160000,1232812,600,14.3923045054,3230.97533632,None
lshp_778,5,30,5000,778,3025,108,0.626360449346,153.852140078,18264
bp_1600,5,30,25000,822,2803,12,10.5388125014,693.869657706,25321
west0497,5,30,250000,497,1287,10,1.81760068449,417.30290123,54016
watt_2,5,30,25000,1856,6671,42,2.02786271749,687.894274535,43105
bcsstk06,5,30,5000,420,4140,88,1.27863983087,264.765326746,None
jagmesh2,5,30,5000,1009,3937,122,0.500346581918,171.768140117,26027
west0479,5,30,250000,479,1818,16,1.44180429336,398.503770028,48602
can_144,5,30,50000,144,720,109,0.430237440833,39.9753238742,12301
psmigr_1,5,30,100,3140,278874,1638,3.54612136501,814.402349486,None
bcspwr10,5,30,25000,5300,13571,11,1.43064218717,1385.79646392,56850
jagmesh4,5,30,5000,1440,5472,172,0.362719765492,165.536460752,29410
494_bus,5,30,250000,494,1080,11,4.72656505562,309.236252042,57891
bp_800,5,30,25000,822,2502,11,8.90558867698,639.579934747,13466
can_187,5,30,50000,187,839,160,0.139623068709,33.5684803002,59046
impcol_d,5,30,250000,425,927,12,0.723522478011,273.615011488,56886
can_96,5,30,50000,96,432,96,0.0612895170987,33.4164877879,22003
bcsstk20,5,30,50000,485,1810,179,0.129692283941,64.4982100975,None
bp_1000,5,30,25000,822,2623,11,11.5372608035,598.269022719,7030
lshp2614,5,30,5000,2614,10297,192,0.458678981935,281.083897863,52902
bcspwr08,5,30,25000,1624,3837,14,4.64231875588,735.413290113,37846
can_62,5,30,50000,62,140,24,0.219601400907,28.8920303941,23831
can_229,5,30,50000,229,1003,144,0.27971454508,43.5468060774,19377
nos3,5,30,5000,960,8402,132,1.22564988453,338.740022805,None
bcsstk09,5,30,25000,1083,9760,91,0.777058264905,528.280802292,None
dwt_72,5,30,50000,72,147,22,0.167654112439,28.6303843178,5920
fs_183_3,5,30,250000,183,630,8,1.0315949918,226.457147663,63700
fs_541_1,5,30,25000,541,2197,25,2.95491827183,350.400145507,29458
fs_183_1,5,30,250000,183,600,8,0.743107294996,226.765965037,17280
bcspwr02,5,30,50000,49,108,8,0.415617562158,46.813679686,36113
jagmesh7,5,30,5000,1138,4294,129,3.20033791199,166.195716835,35271
fs_541_4,5,30,25000,541,2197,25,2.88567033754,347.701840934,39377
orsirr_1,5,30,25000,1030,3944,27,3.19099329572,567.527308838,None
bcsstm07,5,30,5000,420,3836,88,2.87443941024,228.193832599,22472
ash292,5,30,50000,292,1250,103,0.463837746398,73.327872119,27708
bcsstm23,5,30,125000,3134,3134,1,2.53802963284,1380.21139166,57674
dwt_419,5,30,250000,419,1991,37,0.610242382077,248.004640371,20323
will199,5,30,250000,199,536,5,2.47756923662,241.213527851,7142
steam2,5,30,25000,600,3210,6,56.8214404236,1146.87335786,22992
west0067,5,30,50000,67,167,7,0.342725240318,71.9547251168,40707
saylr4,5,30,5000,3564,12940,55,4.73150587784,925.463090959,None
cegb2802,5,30,100,2802,140136,1083,12.3703752511,887.430703625,27087
nos7,5,30,25000,729,2673,25,6.35387620462,421.618166322,None
str_200,5,30,250000,363,1692,10,6.63408205795,529.950413996,7773
dwt_992,5,30,25000,992,8868,80,2.67627578826,516.939035936,56832
bcsstm12,5,30,5000,1473,10566,130,1.34492032442,430.300598278,19374
bcsstk15,5,30,2500,3948,60882,365,1.22780659521,832.425812529,None
bcsstk27,5,30,1000,1224,28675,462,2.27588788338,463.468208092,None
dwt_2680,5,30,5000,2680,13853,75,4.24005612823,774.79876161,8372
sherman2,5,30,5000,1080,11040,60,18.2309020096,810.602161606,None
str_600,5,30,250000,363,1962,9,9.7977592034,684.141093294,17467
nos6,5,30,250000,675,1965,44,0.932922005611,195.334378851,None
shl_400,5,30,1250000,663,909,4,2.51398007568,453.833418905,25835
bp_0,5,30,250000,822,1615,9,4.32415919143,484.455055125,31840
gre_216b,5,30,50000,216,696,31,0.805592760751,93.328395323,56552
sherman5,5,30,5000,3312,11571,39,7.18094258094,990.839440373,None
jagmesh9,5,30,25000,1349,5225,96,0.419107234586,284.952408784,1035
bcspwr05,5,30,250000,443,1033,9,4.95770213055,329.654705484,43687
can_24,5,30,100000,24,92,10,0.340225625246,42.3915923342,22021
lshp1561,5,30,25000,1561,6121,150,0.684954174219,212.605164681,2331
lshp_577,5,30,5000,577,2233,94,0.66475783367,126.705039096,41306
fs_760_3,5,30,25000,760,3301,32,4.13439328369,404.011065007,12375
gemat12,5,30,5000,4929,23691,35,9.14420242473,1789.25259904,55416
jpwh_991,5,30,25000,991,3529,37,4.3236954022,403.928095872,28736
cegb3306,5,30,5000,3306,39153,102,4.17622607305,1477.73545252,52477
can_73,5,30,50000,73,225,55,0.0283682409835,25.8065988226,20809
bcsstk04,5,30,50000,132,1890,82,0.0712020144758,141.35882201,None
dwt_59,5,30,50000,59,163,22,0.144436538563,33.9694656489,49174
bcsstk18,5,30,2500,11948,80519,310,1.47310162572,1115.05285201,None
bp_600,5,30,25000,822,2334,10,29.4584343609,588.433292534,32965
bcsstm20,5,30,1250000,485,485,1,0.605842285406,561.689314392,11750
bcsstk19,5,30,5000,817,3835,345,0.157092303515,84.5979754753,None
west0989,5,30,25000,989,3019,17,3.62512210962,563.672223876,10520
bcsstk16,5,30,100,4884,147631,690,19.5024057874,1088.9175,None
bcsstk26,5,30,5000,1922,16129,164,3.27969630768,475.784190715,None
fs_680_1,5,30,250000,680,1752,44,0.473863823513,179.301587302,None
bcsstm24,5,30,125000,3562,3562,1,2.29232428915,1455.2238806,7415
jgl011,5,30,100000,11,59,10,0.326377976735,35.9623571589,4609
bcsstk30,5,30,5,28924,1036208,5513,56.8422323329,1075.52210526,14235
ash85,5,30,50000,85,304,43,0.162422402649,34.3702081051,23571
shl_0,5,30,1250000,663,852,3,1.15531181925,491.767655136,9203
fs_680_3,5,30,250000,680,1927,44,0.509795647618,184.401942785,None
dwt_869,5,30,5000,869,4077,149,0.475526931381,148.855741725,19712
bcsstk07,5,30,5000,420,4140,88,1.80208473322,263.110912743,None
plskz362,5,30,250000,362,1242,3,7.80220224142,778.506090104,57506
cegb2919,5,30,100,2919,162261,699,8.88169067812,1284.69906791,58532
bcsstm01,5,30,500000,48,48,1,1.39661884516,60.4534005038,39984
lnsp_131,5,30,50000,131,382,14,0.825881885294,94.1497273178,299
watt_1,5,30,25000,1856,6608,42,1.03890188586,641.904618398,1571
gre_115,5,30,250000,115,319,6,0.313232531554,138.677744387,21090
mcfe,5,30,1000,765,10054,568,0.771790235339,121.884057971,None
bcsstm19,5,30,1250000,817,817,1,0.454106929677,781.030922579,26420
bcsstm06,5,30,1250000,420,420,1,6.03564126189,469.140950792,46245
1138_bus,5,30,25000,1138,2596,21,1.76588601742,390.960524624,11204
man_5976,5,30,100,5976,115558,4181,0.808904730451,206.993564205,36353
bcsstk28,5,30,100,4410,111717,918,4.51916812282,754.388059701,None
gre_185,5,30,250000,185,680,12,1.58396631755,187.883762579,20375
bcsstm10,5,30,1000,1086,11589,230,2.43852622815,309.123134328,None
bcsstk14,5,30,1000,1806,32630,392,1.87015538173,543.270547945,None
can_715,5,30,5000,715,3690,188,0.30563805161,124.906296852,33232
bcspwr03,5,30,250000,118,297,7,0.534150465674,122.27702425,5162
bcspwr06,5,30,25000,1454,3377,14,4.12123572195,760.038240918,2403
jagmesh6,5,30,5000,1377,5185,156,0.676528864774,183.03256445,41735
dwt_198,5,30,50000,198,795,22,1.12877761432,148.781530569,20990
lshp2233,5,30,25000,2233,8785,178,0.307667102203,259.088451922,9896
bcsstm21,5,30,125000,3600,3600,1,18.2254258733,1480.10086613,53790
dwt_1007,5,30,5000,1007,4791,120,0.491041289845,217.934598441,21760
jagmesh3,5,30,5000,1089,4225,140,1.40649179469,174.403727689,28386
bp_1200,5,30,25000,822,2702,12,14.7005234582,621.203904555,19809
dwt_607,5,30,5000,607,2869,127,0.538286301029,134.719061789,41670
impcol_c,5,30,50000,137,339,16,0.819994730872,84.8671825978,24786
bcspwr04,5,30,250000,274,943,16,1.09671098838,198.87158061,29014
bcsstm26,5,30,1250000,1922,1922,1,0.85067863728,1107.21088853,4745
dwt_245,5,30,50000,245,853,65,0.109422145423,72.4870174974,58215
nos2,5,30,5000,957,2547,319,0.254359314767,51.1709408757,None
nos1,5,30,50000,237,627,79,0.136023575561,44.3768908541,None
bcsstk24,5,30,500,3562,81736,856,2.8956875235,680.468085106,None
bcsstk22,5,30,50000,138,417,26,0.9259674329,72.2641378833,None
can_292,5,30,50000,292,1416,45,1.6263829244,159.447583176,18890
bcsstm09,5,30,1250000,1083,1083,1,2.31721770206,842.338324968,59199
bcsstk13,5,30,1000,2003,42943,577,1.05308155575,470.723905724,None
fs_680_2,5,30,250000,680,1902,44,0.856036437814,202.494231118,None
plat362,5,30,5000,362,3074,37,4.90070170145,427.326440177,56622
lnsp3937,5,30,5000,3937,16508,113,1.53731416419,657.895927602,None
plsk1919,5,30,125000,1919,6750,3,9.79600290008,2949.92188561,14489
nos5,5,30,25000,468,2820,40,1.78034368535,312.46979217,None
saylr1,5,30,50000,238,683,30,0.373766645858,91.8516910048,None
mahindas,5,30,25000,1258,3231,16,4.27772640606,669.583118888,56053
bcsstk29,5,30,500,13992,316740,1115,2.42228647469,1259.63399756,61953
gent113,5,30,250000,113,456,6,2.42642934181,249.12696433,6049
bcsstk03,5,30,50000,112,376,52,0.0964064322266,36.5421948156,None
west0132,5,30,250000,132,320,7,0.346653202514,129.464134017,54501
dwt_87,5,30,50000,87,314,23,1.19991607119,62.3846863469,12303
bcsstm08,5,30,1250000,1074,1074,1,2.12360397463,872.319688109,53814
gre_512,5,30,250000,512,1744,43,0.156860291755,180.234013518,24808
west0381,5,30,250000,381,1306,8,2.82694600808,471.165488694,11076
bcsstm11,5,30,1250000,1473,1473,1,2.06384084161,1075.2452698,17094
bcsstk32,5,30,25,44609,1029655,2951,15.1524969804,1333.65026478,None
dwt_193,5,30,50000,193,1843,40,1.4938068039,229.299781182,42739
impcol_e,5,30,250000,225,1043,19,0.621119115698,192.8364189,37556
dwt_310,5,30,50000,310,1379,90,0.53327111937,89.9581077439,379
fs_541_2,5,30,25000,541,2197,25,3.74152714721,351.551094891,6640
saylr3,5,30,25000,1000,2375,28,1.29157247297,314.105427742,54312
bcsstk01,5,30,50000,48,224,13,0.478900106993,76.3261671543,None
bcsstk10,5,30,1000,1086,11578,230,2.13997125574,312.458706937,None
dwt_162,5,30,50000,162,672,51,0.359358757697,65.9671838375,53057
mbeause,5,30,1000,496,26426,127,7.90377344441,968.360049322,None
