vsp_c-30_data_data,5,30,500,11023,124368,258.275311331,4086.57174151,50854,246.90003729,4007.56176155,50854
delaunay_n23,5,30,25,8388608,50331568,44.3168181031,2445.57520003,29090,76.5493712857,2227.58621504,29090
m14b,5,30,25,214765,3358036,21.7613939363,2565.9979623,18372,164.429727721,2312.6969697,18372
data,5,30,5000,2851,30186,335.941247154,4225.75828278,37059,108.83004551,4599.18740477,37059
fe_ocean,5,30,500,143437,819186,295.205573087,4108.94164855,14294,402.359769311,4177.3890872,14294
vsp_model1_crew1_cr42_south31,5,30,500,45101,379952,74.4608382269,4209.21713442,3855,481.992007088,3682.89499192,3855
coAuthorsCiteseer,5,30,25,227320,1628268,83.8816163605,2654.78478261,23421,78.6440894718,2562.85624344,23421
rgg_n_2_15_s0,5,30,500,32768,320480,402.915018156,4051.58027813,44251,193.297608215,4580.46688899,44251
vsp_data_and_seymourl,5,30,500,9167,111732,96.2572905429,4205.72145546,60411,124.248036613,4102.76621787,60411
luxembourg_osm,5,30,500,114599,239332,536.733871023,3633.58299595,4924,128.601378185,4399.48529412,4924
kron_g500-logn18,5,30,25,262144,21165908,146.057031729,2814.8649703,14437,135.31212439,2535.24411084,14437
wi2010,5,30,25,253096,1209404,133.129044489,3468.65391969,60759,106.12847798,3508.90909091,60759
italy_osm,5,30,25,6686493,14027956,38.8482246696,1746.21858921,45015,22.7567802328,1706.42559403,45015
hugetrace-00010,5,30,25,12057441,36164358,38.9169229058,1068.60249389,32323,31.3450068224,968.584383816,32323
packing-500x100x100-b050,5,30,25,2145852,34976486,171.514724064,3782.05947232,3299,291.147893897,3715.89553084,3299
me2010,5,30,500,69518,335476,143.282477748,4408.35742444,36313,496.37591835,3952.97721917,36313
vsp_p0291_seymourl_iiasa,5,30,500,10498,107736,250.237580602,4086.06826802,2040,77.3813768006,4101.62436548,2040
sc2010,5,30,500,181908,893160,272.099423507,3966.66173205,56187,275.284833913,4040.2291918,56187
598a,5,30,25,110971,1483868,41.5133261508,2724.35985312,51570,318.827998425,2144.31791908,51570
vsp_msc10848_300sep_100in_1Kout,5,30,25,21996,2442056,146.83831491,3601.85250737,63255,158.678945095,3433.06841612,63255
delaunay_n14,5,30,2500,16384,98244,421.823432342,4199.65802223,50840,77.9114590392,4609.50891461,50840
road_central,5,30,25,14081816,33866826,23.0494210976,809.462363364,64802,13.5152123503,714.329250802,64802
nm2010,5,30,500,168609,830970,266.289884835,4071.38657521,18715,94.6238822832,4190.46898638,18715
hugetric-00010,5,30,25,6592765,19771708,37.7707994412,972.410964294,30588,29.2363980298,873.849023248,30588
coAuthorsDBLP,5,30,25,299067,1955352,245.50981595,2388.45928339,60757,61.4764284491,2607.136,60757
fe_body,5,30,500,45087,327468,111.581542888,4435.23250564,224,639.150872731,3840.51602815,224
venturiLevel3,5,30,25,4026819,16108474,67.6072018058,2438.95336631,4471,102.397262653,2394.95599167,4471
vsp_finan512_scagr7-2c_rlfddd,5,30,25,139752,1104040,106.26415747,3272.8458498,20911,225.32232181,2951.97860963,20911
mt2010,5,30,500,132288,638668,285.957840272,4295.97309417,5070,325.745616546,4153.48796878,5070
pa2010,5,30,25,421545,2058462,178.808388787,3305.88115632,35789,238.861972567,3153.92543412,35789
rgg_n_2_18_s0,5,30,25,262144,3094566,125.499291589,3764.67883212,35912,190.229435172,3767.73457792,35912
vsp_mod2_pgp2_slptsk,5,30,500,101364,778736,195.683586008,3632.72896906,40068,192.150362508,3278.42829077,40068
ma2010,5,30,500,157508,776610,272.500189349,3995.59252272,9151,319.80843292,4039.93410786,9151
ak2010,5,30,500,45292,217098,179.064126112,4368.16901408,7127,183.840433728,4424.55163043,7127
fe_sphere,5,30,2500,16386,98304,353.696618541,4197.43808711,36483,121.006923322,4549.70688059,36483
rgg_n_2_20_s0,5,30,25,1048576,13783240,81.6108446651,3859.4101176,17856,417.906800918,3723.18746623,17856
wv2010,5,30,500,135218,662922,248.315310098,4274.15860735,44970,94.9667109401,4428.33667335,44970
hugetrace-00000,5,30,25,4588484,13758266,42.7953367099,1251.2064387,11398,16.7550081045,1163.65373555,11398
az2010,5,30,25,241666,1196094,182.901821067,2917.30243902,41648,69.1116055881,2960.62871287,41648
delaunay_n16,5,30,500,65536,393150,87.1648700692,4371.57153447,2222,489.940751342,3949.93302076,2222
id2010,5,30,500,149842,728264,266.90189723,4205.56689124,11798,132.229811868,4369.584,11798
delaunay_n12,5,30,5000,4096,24528,517.756649435,3773.53846154,60919,140.46369214,4403.59066427,60919
vsp_barth5_1Ksep_50in_5Kout,5,30,500,32212,203610,186.643387935,4005.44262295,50268,209.395921303,3900.57471264,50268
belgium_osm,5,30,25,1441295,3099940,20.9116072812,1783.62485616,60526,123.400650705,1703.26373626,60526
delaunay_n19,5,30,25,524288,3145646,34.7103166044,2980.71320278,4478,24.1400948669,2788.69326241,4478
delaunay_n11,5,30,5000,2048,12254,257.863284541,3551.88405797,41321,179.885948108,4284.61538462,41321
preferentialAttachment,5,30,500,100000,999970,219.531902835,3142.58328096,32109,220.410146464,2826.63714313,32109
M6,5,30,25,3501776,21003872,42.4019033315,1006.06105505,9793,56.0557842176,861.732665956,9793
rgg_n_2_19_s0,5,30,25,524288,6539532,300.824718059,3607.68591394,4867,147.619835449,3840.75880971,4867
oh2010,5,30,25,365344,1768240,177.003465229,2783.16894019,56779,398.336917142,3048.68965517,56779
mn2010,5,30,25,259777,1227102,214.67389453,3472.93018868,58043,185.880254129,3453.38273921,58043
al2010,5,30,25,252266,1230482,154.957823227,3522.3721374,9149,286.972183821,3418.00555556,9149
in2010,5,30,25,267071,1281716,110.295474017,3527.6587156,18418,334.249849617,3337.80208333,18418
vsp_vibrobox_scagr7-2c_rlfddd,5,30,500,77328,871172,206.311551666,3758.83215878,13849,184.314640978,3488.87464958,13849
delaunay_n13,5,30,5000,8192,49094,230.38524802,4399.10394265,35824,90.0690526621,4628.59836581,35824
AS365,5,30,25,3799275,22736152,48.7258581888,988.413749131,26965,35.1383504621,855.815006274,26965
