name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
tumorAntiAngiogenesis_6,5,30,25000,465,2723,5,54.6888647559,1371.92434815,26953
freeFlyingRobot_16,5,30,25000,6078,26259,3,34.4952687941,3425.11554725,23871
spaceStation_4,5,30,25000,950,7497,7,129.716328104,1847.57060165,4562
lowThrust_4,5,30,12500,13562,90269,2,29.9790949326,4967.15849595,56399
spaceShuttleEntry_4,5,30,25000,2450,21585,8,23.4179267649,3122.38012473,55036
spaceStation_6,5,30,125000,1111,9597,7,45.8604712361,1799.42284729,32459
hangGlider_5,5,30,12500,16011,89187,6,23.8263427214,3975.58765916,20027
lowThrust_7,5,30,2500,17378,118332,2,21.9532344579,5060.44615385,54461
spaceShuttleEntry_3,5,30,25000,1834,15689,8,51.5934436254,2708.13981912,49537
kineticBatchReactor_3,5,30,25000,5082,30364,10,14.8902380501,2977.63270548,26984
orbitRaising_4,5,30,125000,915,4561,4,55.7280675695,2190.32453206,20383
freeFlyingRobot_3,5,30,125000,1718,7665,3,31.5119680355,2570.24169184,35337
dynamicSoaringProblem_7,5,30,25000,3511,21364,2,30.7590862094,4244.26406926,49074
spaceShuttleEntry_2,5,30,25000,1428,13057,8,33.9694131274,2338.87064174,13430
hangGlider_4,5,30,12500,15561,86005,6,7.05857668547,3960.60048606,52453
kineticBatchReactor_8,5,30,25000,8052,48546,10,7.99831084777,3350.0551821,24811
freeFlyingRobot_1,5,30,125000,798,3183,3,53.9141373305,1947.39787353,35917
spaceStation_14,5,30,25000,1640,13341,7,54.3790318491,2457.34659165,20132
tumorAntiAngiogenesis_5,5,30,25000,460,2667,5,69.0640172712,1344.92273731,55623
freeFlyingRobot_6,5,30,25000,3358,15867,3,16.9151418791,3159.44180523,4234
spaceStation_7,5,30,125000,1134,9942,7,54.0618644533,1925.52579691,24024
reorientation_6,5,30,25000,3006,20794,7,43.3539628197,3056.887809,15361
spaceStation_12,5,30,25000,1410,10878,7,99.1541688438,2107.37467201,39729
spaceShuttleEntry_1,5,30,25000,560,3846,8,35.1692650835,1001.31037065,30462
hep-th,5,30,25000,8361,24112,32,3.30756052061,1352.44956121,41731
karate,5,30,50000,34,112,7,0.264214096893,54.8498845266,41731
polbooks,5,30,50000,105,546,28,0.672391154697,98.4178687762,26926
as-22july06,5,30,12500,22963,71399,58,1.18166000318,1775.08788908,2353
cond-mat-2003,5,30,2500,31163,151192,169,1.09231373749,1725.03180122,49321
astro-ph,5,30,500,16706,137957,301,8.74740273166,1531.35880268,57472
power,5,30,25000,4941,11535,14,11.8438762854,1558.72406282,16043
lesmis,5,30,50000,77,331,26,0.0813005046433,49.1624180626,23688
netscience,5,30,25000,1589,4331,20,7.24386902352,743.066255778,18747
polblogs,5,30,5000,1490,10995,72,3.10199687263,506.756756757,50554
dolphins,5,30,50000,62,221,11,0.230960264363,70.4922087559,61455
celegansneural,5,30,250000,297,1625,28,0.34890175604,212.268897898,29241
adjnoun,5,30,50000,112,537,25,0.574755057171,102.939078328,24044
cond-mat-2005,5,30,2500,40421,216112,228,2.91883528991,1831.08331256,58680
F2,5,30,25,71505,2682895,1119,36.6462581245,3114.28529412,None
F1,5,30,25,343791,13590452,1398,7.2102272406,3245.90142719,None
circuit204,5,30,25000,1020,3795,14,21.7677515835,825.791855204,34681
ecology2,5,30,125,999999,2997995,1999,26.3222621023,2173.1778506,None
ecology1,5,30,125,1000000,2998000,1999,4.24674635359,2179.24857508,None
amazon-2008,5,30,125,735323,3283120,625,3.3602204122,2453.81424644,39357
eu-2005,5,30,25,862664,10053879,2726,7.24075561768,2754.02032055,None
enron,5,30,500,69244,201602,466,2.07171603422,1076.59574468,52253
cnr-2000,5,30,125,325557,1788943,181,17.5269215683,3401.06908812,28328
in-2004,5,30,25,1382908,9834648,1320,11.9304743001,3144.1519945,45384
dblp-2010,5,30,125,326186,1133886,1562,3.4611362124,1436.36762675,27992
atmosmodj,5,30,25,1270432,5042656,352,41.7439018623,4213.61376673,None
atmosmodl,5,30,25,1489752,5904756,432,38.8064927877,4179.16846652,None
atmosmodm,5,30,25,1489752,5904756,432,31.1109303966,4154.49275362,None
gupta1,5,30,125,31802,1098006,26,29.610618418,6603.56997559,38269
gupta2,5,30,125,62064,2155175,29,23.6391534653,5824.88939671,7156
gupta3,5,30,5,16783,4670105,314,0,3329.79535714,46044
thermal,5,30,1000,3456,34992,870,0.16112448246,164.632516704,1032
G53,5,30,25000,1000,6914,39,18.7768804368,554.300858443,10995
G2,5,30,1000,800,19976,90,23.4123981906,746.226175349,28133
G28,5,30,5000,2000,21990,47,17.115876978,1010.10587103,51039
G17,5,30,25000,800,5467,36,11.3415346599,487.711755647,44669
G55,5,30,25000,5000,17498,17,4.44921619287,1244.16546842,60223
G42,5,30,5000,2000,13779,37,50.1651491638,856.884219937,14563
G34,5,30,25000,2000,6000,89,0.103793972775,228.818988925,38046
G41,5,30,5000,2000,13785,37,43.1944073901,825.37120723,34797
G24,5,30,5000,2000,21990,47,21.3389132487,1001.90930788,21050
G67,5,30,5000,10000,30000,199,0.462138618629,481.20107789,61184
G1,5,30,1000,800,19976,84,19.1287248277,721.031307551,16047
G6,5,30,1000,800,19976,84,22.4308936948,721.474201474,5765
G43,5,30,5000,1000,10990,43,47.923759149,695.931003981,40769
G7,5,30,1000,800,19976,90,23.4005788418,757.292069632,35632
G66,5,30,5000,9000,27000,189,0.414918176385,451.17304993,54272
G25,5,30,5000,2000,21990,52,10.5652273551,868.192472081,31046
G58,5,30,5000,5000,34570,46,27.8551081247,1161.95652174,57991
G60,5,30,25000,7000,24148,18,2.74695212505,1435.68349326,63025
G13,5,30,25000,800,2400,56,0.224741420539,149.105367793,101
G64,5,30,5000,7000,48459,50,5.85370608835,1372.09562564,58880
G36,5,30,5000,2000,13766,39,44.4671257945,814.677728143,61057
G45,5,30,5000,1000,10990,40,53.5707029698,759.96136199,25482
G57,5,30,5000,5000,15000,149,0.433088864532,335.150594334,5074
G56,5,30,25000,5000,17498,17,5.64065900474,1246.440246,48077
G11,5,30,5000,800,2400,107,0.303294052881,79.9573560768,46204
G37,5,30,5000,2000,13785,37,63.5475774872,839.09429009,38750
G9,5,30,1000,800,19976,87,22.8296318382,715.758683729,29842
G48,5,30,25000,3000,9000,109,1.91021831335,275.418023355,9472
G61,5,30,25000,7000,24148,18,1.5199003373,1450.67915691,43136
G3,5,30,1000,800,19976,83,21.2422167602,743.86320456,12046
G5,5,30,1000,800,19976,85,14.5398015977,710.992736077,21091
G38,5,30,5000,2000,13779,37,44.4126598298,865.590426733,55959
G62,5,30,5000,7000,21000,169,0.65757605925,522.024460575,3072
G31,5,30,5000,2000,21990,52,14.5691376329,858.252691836,26551
G32,5,30,25000,2000,6000,119,0.407158402054,178.007737403,47268
G15,5,30,25000,800,5461,37,12.5991162697,532.587343903,16969
G8,5,30,1000,800,19976,83,21.7311978165,734.559099437,53322
G49,5,30,25000,3000,9000,129,0.0914292924671,238.150680582,62464
G12,5,30,25000,800,2400,65,0.839028168905,172.344459126,41271
G10,5,30,1000,800,19976,85,17.1568486021,722.361623616,63086
G14,5,30,25000,800,5494,37,5.40038130917,439.592682085,2527
G51,5,30,25000,1000,6909,35,32.5655079337,591.782086796,8629
G29,5,30,5000,2000,21990,47,20.660463076,1013.19388576,62387
G16,5,30,25000,800,5472,35,12.4441134849,556.506473557,59405
G19,5,30,25000,800,5461,37,12.3672545691,539.360568384,30119
G46,5,30,5000,1000,10990,42,51.3989857672,741.517436381,52177
G18,5,30,25000,800,5494,37,4.5377689593,442.930844589,14147
G59,5,30,5000,5000,34570,46,23.996978063,1154.15067179,44347
G65,5,30,5000,8000,24000,179,0.441867083122,470.366886171,62208
G50,5,30,25000,3000,9000,144,0.887867125826,211.956214556,34560
G52,5,30,25000,1000,6916,36,21.1585156188,577.116814584,4910
G23,5,30,5000,2000,21990,41,15.0619587957,930.820399113,443
G54,5,30,25000,1000,6916,39,18.7502435224,580.878802511,20907
G63,5,30,5000,7000,48459,50,5.81715574237,1343.53023209,15313
G33,5,30,25000,2000,6000,104,0.0739675036213,197.800458897,37519
G21,5,30,25000,800,5467,36,9.78324928133,496.37539185,25296
G20,5,30,25000,800,5472,35,13.0241238749,553.873034362,53801
G35,5,30,5000,2000,13778,36,33.1974341728,825.452196382,46196
G39,5,30,5000,2000,13778,36,52.2871577907,848.097345133,61916
G44,5,30,5000,1000,10990,46,28.1790971906,656.035021889,52877
G40,5,30,5000,2000,13766,39,50.5676044343,830.579050098,60174
G22,5,30,5000,2000,21990,45,13.6271038227,909.051537462,22969
G47,5,30,5000,1000,10990,47,33.8735613588,653.311189537,19595
G30,5,30,5000,2000,21990,52,13.3090808231,872.039883673,16994
G26,5,30,5000,2000,21990,52,10.2533653699,851.521298174,27360
G4,5,30,1000,800,19976,87,19.6765474727,724.589759408,61180
G27,5,30,5000,2000,21990,45,13.4975085207,902.148997135,25656
