name,workers,outer,inner,N,nnz,csrnnz_sd,csrnnz_mflops,csrnnz_sum,csrnnzgs_sd,csrnnzgs_mflops,csrnnzgs_sum,csrnnzsorted_sd,csrnnzsorted_mflops,csrnnzsorted_sum,csrnnzgssorted_sd,csrnnzgssorted_mflops,csrnnzgssorted_sum,csrnnzshort_sd,csrnnzshort_mflops,csrnnzshort_sum,csrnnzgsshort_sd,csrnnzgsshort_mflops,csrnnzgsshort_sum,csrnnzunroll2_sd,csrnnzunroll2_mflops,csrnnzunroll2_sum,csrnnzunroll3_sd,csrnnzunroll3_mflops,csrnnzunroll3_sum,csrnnzunroll4_sd,csrnnzunroll4_mflops,csrnnzunroll4_sum
thread,5,30,25,29736,4444880,869.039962898,5843.40052585,57856,726.152921411,7899.66824645,12672,89.0661273623,7207.91351351,57856,561.567284771,8101.23936817,12672,300.803704387,7018.23157895,57856,155.072359294,8303.01369863,12672,89.0661273623,7207.91351351,57856,217.10412707,7342.86343612,57856,382.446687287,7092.89361702,57856
troll,5,30,25,213453,11985111,292.130311272,6621.60828729,55368,275.666687061,7722.36533505,39249,559.984177083,6413.72333214,55368,284.435534756,7465.80834718,39249,394.655934847,6393.19576814,55368,204.733131394,7563.17480017,39249,336.486210147,7041.78084606,55368,672.697475733,6911.82871972,55368,227.855356501,7036.26868885,55368
crplat2,5,30,500,18010,960946,940.715172387,7187.32984293,48219,722.778422024,9353.78974692,34289,786.577034097,7393.78815081,48219,286.733368579,9670.70781617,34289,267.83926931,7821.04720564,48219,800.37240426,9254.69662921,34289,187.121963993,9445.73394495,48219,1110.25605469,9933.96967609,48219,275.778016582,10414.8771676,48219
fcondp2,5,30,25,201822,11294316,348.669016766,6706.83847981,42,897.992223212,7023.82835821,22416,190.559476507,6853.34708738,42,220.362382518,7876.09205021,22416,848.508175162,6067.86318052,42,815.980466589,7427.21350285,22416,610.879729675,6920.53676471,42,1161.00619288,6256.08345643,42,743.739078956,6561.37645236,42
m_t1,5,30,25,97578,9753570,84.6847914851,7228.43626482,22720,1146.79353901,7355.63348416,7712,369.494942097,6933.81753555,22720,309.104765386,8177.95136948,7712,799.128621087,6528.4939759,22720,211.76192513,8132.4930517,7712,337.736117639,7522.03341902,22720,170.4663853,7400.28072838,22720,664.538613286,6513.960374,22720
ship_001,5,30,25,34920,3896496,234.974540339,6974.63484487,16362,505.418937153,7813.82887701,7784,985.742062725,5741.39882122,16362,137.356112809,7866.41184388,7784,559.06000848,6589.33934611,16362,191.638389172,7680.34691196,7784,195.829775043,7008.08633094,16362,355.179312254,6991.32057416,16362,178.875554054,7058.86956522,16362
shipsec5,5,30,25,179860,4598604,378.839032141,6242.44886878,42059,664.588033738,5431.42204724,37569,155.082978922,6369.25761773,42059,157.03769153,6056.1071115,37569,281.678612062,6265.1280654,42059,125.052129083,6131.472,37569,284.590126128,6856.76540755,42059,608.337582445,6856.76540755,42059,913.251888739,5835.79187817,42059
shipsec8,5,30,25,114919,3303553,702.900778761,6050.46336996,36552,401.955160187,6028.38138686,41377,866.93917393,5380.37947883,36552,870.828196937,5512.0461624,41377,489.264380487,6155.68881988,36552,104.066461905,6288.4892132,41377,101.279847869,6863.33725762,36552,111.532681683,7129.9705036,36552,293.727701595,6999.0529661,36552
x104,5,30,25,108384,8713602,918.314352398,6144.99435825,49333,649.053789754,7789.27473182,23400,196.842141628,6772.22953368,49333,214.603685726,7926.26015767,23400,865.21571106,5806.48733896,49333,345.704665867,7738.54529307,23400,251.077261967,7245.23447894,49333,362.360265533,7281.56155989,49333,964.476213384,6026.00414938,49333
trdheim,5,30,25,22098,1935324,619.846183133,7097.76528117,58425,310.276624046,8614.20178042,23079,425.071235086,6911.87142857,58425,869.725531306,8223.75637394,23079,368.43663358,7012.04347826,58425,663.044189394,8154.45505618,23079,210.942885104,7975.23626374,58425,208.105151226,8041.51246537,58425,965.670681554,7275.65413534,58425
tsyl201,5,30,25,20685,2454957,754.496421106,6819.325,59157,322.432307464,8445.95298165,59205,136.629297647,7234.64734774,59157,475.318336521,8256.58183857,59205,536.491594219,6921.8712406,59157,937.87796185,7719.99056604,59205,546.845320559,7364.871,59157,180.566561353,7577.02777778,59157,809.372220923,6756.76238532,59157
ship_003,5,30,25,121728,3777036,378.756494308,6219.04939627,18946,511.741382567,5711.24395161,22050,962.019223369,5463.40790743,18946,91.0099597438,6124.92324324,22050,344.036374667,6212.23026316,18946,306.466027586,6078.92060086,22050,711.87660342,6482.32723112,18946,527.776144113,6825.9686747,18946,231.341796492,6842.45652174,18946
mark3jac100sc,5,30,500,45769,268563,147.153497323,7600.83962264,6340,459.421722027,4795.76785714,55112,37.0944407187,6384.22345483,6340,22.3947858423,3167.01650943,55112,943.141370164,5693.91519435,6340,62.6148065886,4357.43104381,55112,220.394985738,6518.51941748,6340,202.3958314,6939.6124031,6340,252.779413614,6898.02226027,6340
g7jac160,5,30,500,47430,564952,277.168244232,7506.00531444,15620,130.751876937,6486.2456946,735,712.018296517,5955.22136332,15620,9.75619705532,3603.77631299,735,922.670076461,6610.20280811,15620,199.50868234,5437.45909528,735,54.1888046065,7169.44162437,15620,463.972931599,7097.38693467,15620,73.5331453046,7295.97933706,15620
jan99jac060,5,30,500,20614,111903,260.900987502,7067.55789474,25307,473.059674024,4354.20233463,65088,303.360513117,6346.10586011,25307,31.2705561288,2776.74937965,65088,1593.4016786,5379.95192308,25307,595.082679615,4782.17948718,65088,173.818225486,7378.21978022,25307,804.419320222,7282.19088937,25307,932.067701301,7082.46835443,25307
mark3jac060,5,30,500,27449,160723,533.150132888,7372.6146789,17581,221.284426838,4935.19959058,22838,888.673040757,6126.67090216,17581,64.5777140585,3188.9484127,22838,968.794961524,5442.08803612,17581,56.8858300011,4423.56880734,22838,356.126686131,6734.20391061,17581,469.123784892,7018.47161572,17581,153.100925844,7101.1634757,17581
mark3jac100,5,30,500,45769,268563,594.503629984,7351.1770073,51856,848.310230659,4062.98033283,37321,52.1756379533,6384.22345483,51856,97.9283615848,3141.0877193,37321,187.921191154,6742.16736402,51856,184.863324028,4262.9047619,37321,83.229462186,6593.19967267,51856,494.651093521,6827.87288136,51856,244.906527772,6909.8542024,51856
jan99jac100sc,5,30,500,34454,190224,486.369639524,7010.71253071,44325,342.638382909,4497.0212766,9912,730.029993908,5419.48717949,44325,19.5375446274,2782.40858118,9912,343.412056722,7187.30478589,44325,68.5115709385,5104.40071556,9912,237.265669535,7124.49438202,44325,217.673480155,7479.31847969,44325,511.805664625,7335.11568123,44325
g7jac100,5,30,500,29610,335972,651.868822552,7298.45039826,34080,245.926180842,6311.30870382,22593,401.490711816,6674.94039735,34080,179.831829151,3513.12652492,22593,425.832303834,7658.93617021,34080,51.6317891535,5633.96310788,22593,316.361941477,7433.00884956,34080,309.709372451,7641.51630023,34080,607.474692575,7178.88888889,34080
